Starting time: 2018.02.27 23:43:34
Using scheduler com.simulations.matrix.SimpleSchedulers$MinMaxScheduler
First player,Second player,TimeFirst(in seconds)TimeSecond(in seconds)
50,50,2.913698,6.163498
50,55,2.913698,5.758514
50,60,2.935201,5.352921
50,65,2.913698,5.032199
50,70,2.950099,4.739150
50,75,2.913698,4.619133
50,80,2.913550,4.450850
50,85,2.913698,4.279179
50,90,2.913698,4.194700
50,95,2.913698,4.134617
50,100,2.913450,4.084550
50,105,2.913588,4.073328
50,110,2.913698,3.976071
50,115,2.913504,3.977492
50,120,2.913698,4.130107
50,125,2.913698,4.120363
50,130,2.913698,4.035998
50,135,2.913700,3.962312
50,140,2.913450,3.923017
50,145,2.913698,3.968338
50,150,2.913698,3.971555
50,155,2.913483,3.930023
50,160,2.913517,3.875130
50,165,2.913698,3.851310
50,170,2.913698,3.818458
50,175,2.913450,3.876350
50,180,2.913698,3.890143
50,185,2.914799,3.921380
50,190,2.913698,3.899556
50,195,2.913698,3.878130
50,200,2.913698,3.858174
50,205,2.913698,3.839129
50,210,2.913698,3.845180
50,215,2.913698,3.860254
50,220,2.913698,3.860392
50,225,2.913698,3.840836
50,230,2.913698,3.821257
50,235,2.913698,3.826618
50,240,2.913698,3.816101
50,245,2.913450,3.813127
50,250,2.913698,3.808740
50,255,2.913698,3.803690
50,260,2.913698,3.811528
50,265,2.913698,3.796944
50,270,2.913698,3.790070
50,275,2.913698,3.805388
50,280,2.913698,3.818290
50,285,2.913698,3.807509
50,290,2.913698,3.804622
50,295,2.913698,3.792605
50,300,2.913698,3.781464
50,305,2.913698,3.780706
50,310,2.913550,3.766502
50,315,2.913698,3.772035
50,320,2.913698,3.791539
50,325,2.913698,3.778052
50,330,2.913698,3.773332
50,335,2.913698,3.761591
50,340,2.913698,3.765330
50,345,2.913698,3.760542
50,350,2.913450,3.773483
50,355,2.909400,3.754899
50,360,2.913698,3.754729
50,365,2.913698,3.757574
50,370,2.913698,3.759579
50,375,2.913698,3.759170
50,380,2.913698,3.761796
50,385,2.913698,3.757700
50,390,2.913698,3.808693
50,395,2.913698,3.804599
50,400,2.913698,3.802636
50,405,2.913698,3.800706
50,410,2.913698,3.796963
50,415,2.875698,3.759880
50,420,2.913698,3.787190
50,425,2.913698,3.782683
50,430,2.913698,3.777757
50,435,2.913698,3.772319
50,440,2.913698,3.766972
50,445,2.913553,3.759574
50,450,2.913698,3.753962
50,455,2.913698,3.747075
50,460,2.913698,3.739398
50,465,2.913698,3.739009
50,470,2.913698,3.736408
50,475,2.913698,3.829396
50,480,2.913698,3.824501
50,485,2.913698,3.816647
50,490,2.913450,3.809400
50,495,2.913698,3.803136
50,500,2.913698,3.794350
50,505,2.913698,3.786598
50,510,2.913698,3.778908
50,515,2.913698,3.770202
50,520,2.913698,3.761453
50,525,2.913698,3.753000
50,530,2.913698,3.743553
50,535,2.913698,3.740447
50,540,2.913698,3.759618
50,545,2.913698,3.758359
50,550,2.913698,3.854564
50,555,2.912450,3.846858
50,560,2.913698,3.837050
50,565,2.913698,3.852150
50,570,2.913698,3.855882
50,575,2.913698,3.860121
50,580,2.913698,3.864044
50,585,2.913698,3.868212
50,590,2.913698,3.871900
50,595,2.913698,3.874783
50,600,2.913698,3.877979
50,605,2.913698,3.881431
50,610,2.913698,3.885095
50,615,2.913698,3.728246
50,620,2.913550,3.728787
50,625,2.913698,3.725680
50,630,2.913698,3.726088
50,635,2.913698,3.727404
50,640,2.913698,3.902989
50,645,2.913698,3.905466
50,650,2.913698,3.909040
50,655,2.913698,3.911114
50,660,2.913698,3.913566
50,665,2.913698,3.917112
50,670,2.913698,3.918673
50,675,2.913698,3.921561
50,680,2.913698,3.923750
50,685,2.913698,3.926392
50,690,2.913698,3.928709
50,695,2.913698,3.930418
50,700,2.913450,3.932550
50,705,2.913698,3.934014
50,710,2.909400,3.933150
50,715,2.913698,3.937512
50,720,2.913698,3.939250
50,725,2.913698,3.940912
50,730,2.913698,3.942500
50,735,2.913698,3.944012
50,740,2.913698,3.944512
50,745,2.913698,3.946812
50,750,2.913698,3.947221
50,755,2.913698,3.949312
50,760,2.913698,3.949687
50,765,2.913698,3.951512
50,770,2.913698,3.952500
50,775,2.913698,3.953412
50,780,2.913698,3.954250
50,785,2.913698,3.955012
50,790,2.913698,3.955700
50,795,2.913698,3.956312
50,800,2.913698,3.955974
50,805,2.913698,3.956987
50,810,2.913698,3.957700
50,815,2.913660,3.957174
50,820,2.913698,3.957444
50,825,2.913698,3.957735
50,830,2.875698,3.920219
50,835,2.913698,3.957412
50,840,2.913698,3.957350
50,845,2.913698,3.957212
50,850,2.913698,3.957000
50,855,2.913698,3.956712
50,860,2.913698,3.956350
50,865,2.913698,3.955912
50,870,2.913698,3.954598
50,875,2.913698,3.954700
50,880,2.913698,3.954150
50,885,2.913698,3.953412
50,890,2.913698,3.952600
50,895,2.913698,3.951712
50,900,2.913698,3.950750
50,905,2.913698,3.949712
50,910,2.913698,3.948600
50,915,2.913698,3.947412
50,920,2.913698,3.946150
50,925,2.913698,3.943995
50,930,2.913698,3.942529
50,935,2.913698,3.941912
50,940,2.913698,3.940350
50,945,2.913698,3.938712
50,950,2.913698,3.937000
50,955,2.913698,3.935212
50,960,2.913698,3.933350
50,965,2.913698,3.931412
50,970,2.913698,3.929400
50,975,2.913698,3.927312
50,980,2.913450,3.925150
50,985,2.913698,3.922912
50,990,2.913698,3.920040
50,995,2.904849,3.909612
50,1000,2.913698,3.914650
50,1005,2.913698,3.912112
50,1010,2.913698,3.909500
50,1015,2.913698,3.906812
50,1020,2.913698,3.904050
50,1025,2.913698,3.901212
50,1030,2.913698,3.898300
50,1035,2.913698,3.895312
50,1040,2.913698,3.892250
50,1045,2.913698,3.889112
50,1050,2.913698,3.885900
50,1055,2.913698,3.882612
50,1060,2.913698,3.879250
50,1065,2.913698,3.875812
50,1070,2.913698,3.872300
50,1075,2.913698,3.868712
50,1080,2.913698,3.865050
50,1085,2.913698,3.861312
50,1090,2.913698,3.857500
50,1095,2.913698,3.853612
50,1100,2.913698,3.849650
50,1105,2.913698,3.844778
