Starting time: 2018.02.27 23:43:34
Using scheduler com.simulations.matrix.SimpleSchedulers$MinMinScheduler
First player,Second player,TimeFirst(in seconds)TimeSecond(in seconds)
50,1150,2.914798,3.808248
50,1155,2.914798,3.803460
50,1160,2.914798,3.798598
50,1165,2.914798,3.793660
50,1170,2.914798,3.788648
50,1175,2.914798,3.782829
50,1180,2.914798,3.778398
50,1185,2.914798,3.773160
50,1190,2.914798,3.767848
50,1195,2.914798,3.762460
50,1200,2.914798,3.756998
50,1205,2.914798,3.751460
50,1210,2.914798,3.745848
50,1215,2.914798,3.740160
50,1220,2.914798,3.734398
50,1225,2.914798,3.728560
50,1230,2.914617,3.722467
50,1235,2.914798,3.716660
50,1240,2.912450,3.708250
50,1245,2.914800,3.704115
50,1250,2.914798,3.701400
50,1255,2.914798,3.701542
50,1260,2.914798,3.702770
50,1265,2.914798,3.703982
50,1270,2.914798,3.704080
50,1275,2.914798,3.705262
50,1280,2.914798,3.706430
50,1285,2.914798,3.707212
50,1290,2.914798,3.707971
50,1295,2.914798,3.725171
50,1300,2.914798,3.728007
50,1305,2.914798,3.730648
50,1310,2.914798,3.733286
50,1315,2.914798,4.475273
50,1320,2.914798,4.474598
50,1325,2.914798,4.473873
50,1330,2.914798,4.473098
50,1335,2.914798,4.472273
50,1340,2.914798,4.471398
50,1345,2.914798,4.470473
50,1350,2.914798,4.469498
50,1355,2.914798,4.468473
50,1360,2.914798,4.467398
50,1365,2.914798,4.466273
50,1370,2.914798,4.465098
50,1375,2.914798,4.463873
50,1380,2.914798,4.462598
50,1385,2.914798,4.461273
50,1390,2.914798,4.459898
50,1395,2.914798,4.458473
50,1400,2.914798,4.456998
50,1405,2.914798,4.455473
50,1410,2.914798,4.453898
50,1415,2.914798,4.452273
50,1420,2.914798,4.450598
50,1425,2.914798,4.448873
50,1430,2.914798,4.447098
50,1435,2.914798,4.445273
50,1440,2.914798,4.443398
50,1445,2.914798,4.441473
50,1450,2.914798,4.439498
50,1455,2.914798,4.437473
50,1460,2.914798,4.435398
50,1465,2.914798,4.433273
50,1470,2.914798,4.431000
50,1475,2.914798,4.428873
50,1480,2.914798,4.426598
50,1485,2.914798,4.424273
50,1490,2.914798,4.421898
50,1495,2.914798,4.419473
50,1500,2.914798,4.416850
50,1505,2.914798,4.414473
50,1510,2.914798,4.411898
50,1515,2.914798,4.409273
50,1520,2.914798,4.406598
50,1525,2.914798,4.403873
50,1530,2.914798,4.401098
50,1535,2.914798,4.398273
